from,to,unfinished,finished
C0002,C0144,10,2
C0002,C0145,5,0
C0002,C0146,8,3
C0003,C0001,902,384
C0003,C0002,14,4
C0003,C0003,33,11
C0003,C0004,40,18
C0003,C0005,89,9
C0003,C0006,29,28
C0003,C0007,97,54
C0003,C0008,264,59
C0003,C0009,87,37
C0003,C0010,26,9
C0003,C0011,17,12
C0003,C0012,6,3
C0003,C0013,13,13
C0003,C0014,114,44
C0003,C0015,23,10
C0003,C0016,216,107
C0003,C0017,14,4
C0003,C0019,4,1
C0003,C0020,26,7
C0003,C0021,1,3
C0003,C0022,2,0
C0003,C0023,1,1
C0003,C0024,4,3
C0003,C0025,0,2
C0003,C0026,2,1
C0003,C0027,2,0
C0003,C0028,10,2
C0003,C0029,4,1
C0003,C0030,2,1
C0003,C0031,15,7
C0003,C0032,7,4
C0003,C0033,9,5
C0003,C0034,11,7
C0003,C0035,1,11
C0003,C0036,1,1
C0003,C0037,1,2
C0003,C0038,17,3
C0003,C0039,8,6
C0003,C0040,6,6
C0003,C0041,13,3
C0003,C0042,36,21
C0003,C0043,0,2
C0003,C0044,1,2
C0003,C0045,6,3
C0003,C0046,5,3
C0003,C0047,4,0
C0003,C0048,0,5
C0003,C0049,38,9
C0003,C0050,8,0
C0003,C0051,25,3
C0003,C0052,19,2
C0003,C0053,38,6
C0003,C0054,24,3
C0003,C0055,18,2
C0003,C0056,14,4
C0003,C0057,8,2
C0003,C0058,10,2
C0003,C0059,18,7
C0003,C0060,1,2
C0003,C0061,4,5
C0003,C0062,35,9
C0003,C0063,1,2
C0003,C0064,4,1
C0003,C0065,10,7
C0003,C0067,18,8
C0003,C0068,23,4
C0003,C0070,15,6
C0003,C0071,4,0
C0003,C0072,13,8
C0003,C0073,1,3
C0003,C0074,6,1
C0003,C0075,1,0
C0003,C0076,2,0
C0003,C0078,21,5
C0003,C0079,2,4
C0003,C0080,0,3
C0003,C0081,8,0
C0003,C0082,2,1
C0003,C0083,1,2
C0003,C0084,2,5
C0003,C0085,2,0
C0003,C0086,2,1
C0003,C0087,9,2
C0003,C0088,3,3
C0003,C0089,0,7
C0003,C0090,1,1
C0003,C0091,5,5
C0003,C0092,0,1
C0003,C0093,4,0
C0003,C0094,1,1
C0003,C0095,2,0
C0003,C0096,5,0
C0003,C0097,4,1
C0003,C0098,12,3
C0003,C0099,6,1
C0003,C0100,1,1
C0003,C0101,1,5
C0003,C0102,8,5
C0003,C0103,10,3
C0003,C0104,6,2
C0003,C0105,24,3
C0003,C0106,0,2
C0003,C0107,9,3
C0003,C0108,2,7
C0003,C0109,4,1
C0003,C0110,11,2
C0003,C0111,3,2
C0003,C0112,1,1
C0003,C0113,9,1
C0003,C0114,1,4
C0003,C0115,3,2
C0003,C0116,6,2
C0003,C0117,122,78
C0003,C0118,53,11
C0003,C0119,44,18
C0003,C0120,19,5
C0003,C0121,21,3
C0003,C0122,23,2
C0003,C0123,11,0
C0003,C0124,7,1
C0003,C0125,1,3
C0003,C0126,9,4
C0003,C0127,3,1
C0003,C0128,3,0
C0003,C0129,19,13
C0003,C0130,4,2
C0003,C0131,2,2
C0003,C0132,18,5
C0003,C0133,21,15
C0003,C0134,4,6
C0003,C0135,27,17
C0003,C0136,5,1
C0003,C0137,22,17
C0003,C0138,12,5
C0003,C0139,32,3
C0003,C0140,8,3
C0003,C0141,1,0
C0003,C0143,11,6
C0003,C0144,15,6
C0003,C0145,13,4
C0003,C0146,5,2
C0004,C0001,2210,997
C0004,C0002,9,7
C0004,C0003,47,27
C0004,C0004,115,42
C0004,C0005,215,31
C0004,C0006,101,55
C0004,C0007,277,148
C0004,C0008,597,161
C0004,C0009,189,87
C0004,C0010,47,12
C0004,C0011,60,39
C0004,C0012,23,13
C0004,C0013,20,34
C0004,C0014,221,137
C0004,C0015,58,23
C0004,C0016,611,273
C0004,C0017,9,7
C0004,C0019,19,11
C0004,C0020,6,7
C0004,C0021,7,2
C0004,C0022,15,7
C0004,C0023,3,3
C0004,C0024,3,5
C0004,C0025,5,7
C0004,C0026,10,2
C0004,C0027,5,1
C0004,C0028,18,1
C0004,C0029,11,0
C0004,C0030,6,4
C0004,C0031,55,25
C0004,C0032,18,10
C0004,C0033,19,2
C0004,C0034,56,26
C0004,C0035,12,16
C0004,C0036,0,2
C0004,C0037,2,7
C0004,C0038,38,18
C0004,C0039,24,9
C0004,C0040,34,17
C0004,C0041,31,23
C0004,C0042,89,39
C0004,C0043,5,12
C0004,C0044,4,5
C0004,C0045,19,6
C0004,C0046,11,1
C0004,C0047,9,0
C0004,C0048,14,12
C0004,C0049,81,9
C0004,C0050,1,2
C0004,C0051,62,10
C0004,C0052,51,15
C0004,C0053,90,10
C0004,C0054,36,11
C0004,C0055,81,20
C0004,C0056,43,21
C0004,C0057,24,8
C0004,C0058,24,6
C0004,C0059,37,17
C0004,C0060,5,1
C0004,C0061,9,6
C0004,C0062,48,17
C0004,C0063,12,5
C0004,C0064,8,8
C0004,C0065,40,15
C0004,C0066,1,1
C0004,C0067,62,27
C0004,C0068,21,11
C0004,C0069,4,1
C0004,C0070,14,14
C0004,C0071,5,1
C0004,C0072,4,6
C0004,C0073,23,8
C0004,C0074,19,4
C0004,C0075,5,1
C0004,C0076,13,5
C0004,C0077,0,2
C0004,C0078,23,2
C0004,C0079,6,2
C0004,C0080,1,14
C0004,C0081,28,2
C0004,C0082,3,0
C0004,C0083,1,2
C0004,C0084,6,8
C0004,C0085,10,7
C0004,C0086,11,6
C0004,C0087,3,6
C0004,C0088,4,4
C0004,C0089,8,20
C0004,C0090,5,4
C0004,C0091,3,10
C0004,C0092,12,8
C0004,C0093,9,4
C0004,C0094,3,1
C0004,C0095,3,1
C0004,C0096,15,9
C0004,C0097,1,5
C0004,C0098,25,16
C0004,C0099,11,2
C0004,C0100,1,4
C0004,C0101,7,6
C0004,C0102,30,6
C0004,C0103,12,5
C0004,C0104,6,4
C0004,C0105,41,8
C0004,C0106,4,4
C0004,C0107,17,7
C0004,C0108,5,22
C0004,C0109,26,6
C0004,C0110,10,13
C0004,C0111,11,5
C0004,C0112,3,5
C0004,C0113,15,3
C0004,C0114,9,2
C0004,C0115,16,6
C0004,C0116,4,3
C0004,C0117,337,196
C0004,C0118,119,34
C0004,C0119,156,44
C0004,C0120,48,3
C0004,C0121,38,6
C0004,C0122,49,4
C0004,C0123,52,10
C0004,C0124,17,6
C0004,C0125,7,2
C0004,C0126,22,15
C0004,C0127,7,4
C0004,C0128,21,3
C0004,C0129,55,32
C0004,C0130,28,12
C0004,C0131,4,0
C0004,C0132,64,17
C0004,C0133,59,37
C0004,C0134,32,23
C0004,C0135,46,42
C0004,C0136,10,3
C0004,C0137,39,31
C0004,C0138,15,5
C0004,C0139,87,23
C0004,C0140,13,4
C0004,C0141,4,2
C0004,C0142,7,3
C0004,C0143,62,8
C0004,C0144,47,21
C0004,C0145,13,9
C0004,C0146,27,4
C0005,C0001,2888,1358
C0005,C0002,13,9
C0005,C0003,61,30
C0005,C0004,120,72
C0005,C0005,306,41
C0005,C0006,86,57
C0005,C0007,272,196
C0005,C0008,898,236
C0005,C0009,272,106
C0005,C0010,52,30
C0005,C0011,93,48
C0005,C0012,24,5
C0005,C0013,65,40
C0005,C0014,335,177
C0005,C0015,78,22
C0005,C0016,712,408
C0005,C0017,13,9
C0005,C0019,22,9
C0005,C0020,16,9
C0005,C0021,12,2
C0005,C0022,12,10
C0005,C0023,4,11
C0005,C0024,2,5
C0005,C0025,4,6
C0005,C0026,2,5
C0005,C0027,4,4
C0005,C0028,18,3
C0005,C0029,14,6
C0005,C0030,19,3
C0005,C0031,54,33
C0005,C0032,18,3
C0005,C0033,22,16
C0005,C0034,31,22
C0005,C0035,12,13
C0005,C0036,4,4
C0005,C0037,8,24
C0005,C0038,31,13
C0005,C0039,24,6
C0005,C0040,25,22
C0005,C0041,18,16
C0005,C0042,88,56
C0005,C0043,5,11
C0005,C0044,7,6
C0005,C0045,33,10
C0005,C0046,19,6
C0005,C0047,7,3
C0005,C0048,9,28
C0005,C0049,107,26
C0005,C0050,8,5
C0005,C0051,75,13
C0005,C0052,41,16
C0005,C0053,141,19
C0005,C0054,63,23
C0005,C0055,133,15
C0005,C0056,64,21
C0005,C0057,32,10
C0005,C0058,40,9
C0005,C0059,64,28
C0005,C0060,8,4
C0005,C0061,12,9
C0005,C0062,105,30
C0005,C0063,12,10
C0005,C0064,9,2
C0005,C0065,61,24
C0005,C0066,1,1
C0005,C0067,89,36
C0005,C0068,51,11
C0005,C0069,4,1
C0005,C0070,38,11
C0005,C0071,9,2
C0005,C0072,9,7
C0005,C0073,10,12
C0005,C0074,19,3
C0005,C0075,4,5
C0005,C0076,8,14
C0005,C0077,2,0
C0005,C0078,20,5
C0005,C0079,18,6
C0005,C0080,3,10
C0005,C0081,43,4
C0005,C0082,7,1
C0005,C0083,8,4
C0005,C0084,11,16
C0005,C0085,11,6
C0005,C0086,17,7
C0005,C0087,15,6
C0005,C0088,3,2
C0005,C0089,32,25
C0005,C0090,15,7
C0005,C0091,5,21
C0005,C0092,11,4
C0005,C0093,5,4
C0005,C0094,3,2
C0005,C0095,2,3
C0005,C0096,8,6
C0005,C0097,5,4
C0005,C0098,35,20
C0005,C0099,3,6
C0005,C0100,8,5
C0005,C0101,6,3
C0005,C0102,39,11
C0005,C0103,24,14
C0005,C0104,11,5
C0005,C0105,74,13
C0005,C0106,2,3
C0005,C0107,12,9
C0005,C0108,15,26
C0005,C0109,63,9
C0005,C0110,10,10
C0005,C0111,12,2
C0005,C0112,7,4
C0005,C0113,16,5
C0005,C0114,5,8
C0005,C0115,27,3
C0005,C0116,11,1
C0005,C0117,335,272
C0005,C0118,187,59
C0005,C0119,190,81
C0005,C0120,44,12
C0005,C0121,58,10
C0005,C0122,77,6
C0005,C0123,93,6
C0005,C0124,25,5
C0005,C0125,19,5
C0005,C0126,49,20
C0005,C0127,6,5
C0005,C0128,10,4
C0005,C0129,38,42
C0005,C0130,27,16
C0005,C0131,7,3
C0005,C0132,44,21
C0005,C0133,44,54
C0005,C0134,40,29
C0005,C0135,81,76
C0005,C0136,12,4
C0005,C0137,43,28
C0005,C0138,30,18
C0005,C0139,125,30
C0005,C0140,26,10
C0005,C0141,7,1
C0005,C0142,11,2
C0005,C0143,42,28
C0005,C0144,104,42
C0005,C0145,13,8
C0005,C0146,34,4
C0006,C0001,2736,1996
C0006,C0002,27,14
C0006,C0003,31,29
C0006,C0004,99,52
C0006,C0005,140,19
C0006,C0006,80,41
C0006,C0007,812,1110
C0006,C0008,531,147
C0006,C0009,196,106
C0006,C0010,116,72
C0006,C0011,65,42
C0006,C0012,23,12
C0006,C0013,48,28
C0006,C0014,235,134
C0006,C0015,67,19
C0006,C0016,1186,1211
C0006,C0017,27,14
C0006,C0019,11,7
C0006,C0020,7,8
C0006,C0021,5,1
C0006,C0022,8,14
C0006,C0023,10,7
C0006,C0024,3,1
C0006,C0025,1,4
C0006,C0026,11,3
C0006,C0027,2,3
C0006,C0028,11,6
C0006,C0029,10,2
C0006,C0030,5,3
C0006,C0031,50,23
C0006,C0032,9,3
C0006,C0033,23,12
C0006,C0034,40,14
C0006,C0035,6,11
C0006,C0036,3,2
C0006,C0037,7,14
C0006,C0038,15,10
C0006,C0039,11,15
C0006,C0040,24,13
C0006,C0041,22,17
C0006,C0042,694,1002
C0006,C0043,3,3
C0006,C0044,1,7
C0006,C0045,16,9
C0006,C0046,6,7
C0006,C0047,5,4
C0006,C0048,8,10
C0006,C0049,67,15
C0006,C0050,2,1
C0006,C0051,48,11
C0006,C0052,31,5
C0006,C0053,108,16
C0006,C0054,40,11
C0006,C0055,54,10
C0006,C0056,35,12
C0006,C0057,27,5
C0006,C0058,19,4
C0006,C0059,35,14
C0006,C0060,9,5
C0006,C0061,3,7
C0006,C0062,55,27
C0006,C0063,4,7
C0006,C0064,6,1
C0006,C0065,31,17
C0006,C0066,8,1
C0006,C0067,52,31
C0006,C0068,47,12
C0006,C0069,3,0
C0006,C0070,24,23
C0006,C0071,1,1
C0006,C0072,9,2
C0006,C0073,17,17
C0006,C0074,9,4
C0006,C0075,14,1
C0006,C0076,8,8
C0006,C0077,3,4
C0006,C0078,49,7
C0006,C0079,42,52
C0006,C0080,4,8
C0006,C0081,15,3
C0006,C0082,14,8
C0006,C0083,24,6
C0006,C0084,3,11
C0006,C0085,10,3
C0006,C0086,2,5
C0006,C0087,15,6
C0006,C0088,8,3
C0006,C0089,12,14
C0006,C0090,13,5
C0006,C0091,7,9
C0006,C0092,5,5
C0006,C0093,3,1
C0006,C0094,3,1
C0006,C0095,5,3
C0006,C0096,4,8
C0006,C0097,8,2
C0006,C0098,28,21
C0006,C0099,6,7
C0006,C0100,6,5
C0006,C0101,6,6
C0006,C0102,19,9
C0006,C0103,13,12
C0006,C0104,10,5
C0006,C0105,44,11
C0006,C0106,1,2
C0006,C0107,17,4
C0006,C0108,17,13
C0006,C0109,17,4
C0006,C0110,19,6
C0006,C0111,17,3
C0006,C0112,7,9
C0006,C0113,5,1
C0006,C0114,22,4
C0006,C0115,17,5
C0006,C0116,2,0
C0006,C0117,900,1133
C0006,C0118,123,32
C0006,C0119,169,48
C0006,C0120,30,5
C0006,C0121,24,4
C0006,C0122,52,8
C0006,C0123,14,1
C0006,C0124,3,0
C0006,C0125,9,6
C0006,C0126,29,14
C0006,C0127,1,5
C0006,C0128,8,3
C0006,C0129,40,37
C0006,C0130,22,5
C0006,C0131,4,0
C0006,C0132,28,15
C0006,C0133,46,24
C0006,C0134,43,33
C0006,C0135,42,41
C0006,C0136,3,2
C0006,C0137,672,979
C0006,C0138,17,6
C0006,C0139,87,16
C0006,C0140,16,8
C0006,C0141,4,2
C0006,C0142,16,2
C0006,C0143,36,10
C0006,C0144,89,28
C0006,C0145,16,5
C0006,C0146,62,15
C0007,C0001,5823,2561
C0007,C0002,31,23
C0007,C0003,101,62
C0007,C0004,276,136
C0007,C0005,436,61
C0007,C0006,312,206
C0007,C0007,726,432
C0007,C0008,1289,355
C0007,C0009,562,193
C0007,C0010,121,74
C0007,C0011,149,106
C0007,C0012,62,34
C0007,C0013,76,53
C0007,C0014,662,279
C0007,C0015,275,81
C0007,C0016,1762,839
C0007,C0017,31,23
C0007,C0019,19,11
C0007,C0020,45,29
C0007,C0021,22,0
C0007,C0022,16,24
C0007,C0023,9,11
C0007,C0024,4,11
C0007,C0025,4,16
C0007,C0026,14,12
C0007,C0027,11,8
C0007,C0028,39,18
C0007,C0029,20,9
C0007,C0030,45,8
C0007,C0031,141,50
C0007,C0032,25,7
C0007,C0033,40,22
C0007,C0034,224,145
C0007,C0035,17,22
C0007,C0036,11,13
C0007,C0037,20,24
C0007,C0038,91,38
C0007,C0039,34,13
C0007,C0040,45,30
C0007,C0041,56,43
C0007,C0042,316,197
C0007,C0043,5,16
C0007,C0044,24,15
C0007,C0045,69,16
C0007,C0046,27,9
C0007,C0047,17,3
C0007,C0048,24,30
C0007,C0049,154,38
C0007,C0050,10,1
C0007,C0051,98,22
C0007,C0052,97,31
C0007,C0053,213,36
C0007,C0054,101,24
C0007,C0055,180,31
C0007,C0056,101,31
C0007,C0057,32,12
C0007,C0058,75,14
C0007,C0059,84,42
C0007,C0060,10,7
C0007,C0061,23,14
C0007,C0062,125,49
C0007,C0063,9,6
C0007,C0064,17,8
C0007,C0065,71,25
C0007,C0066,6,3
C0007,C0067,108,44
C0007,C0068,83,19
C0007,C0069,1,2
C0007,C0070,85,38
C0007,C0071,20,9
C0007,C0072,20,9
C0007,C0073,32,18
C0007,C0074,145,34
C0007,C0075,12,7
C0007,C0076,34,31
C0007,C0077,3,2
C0007,C0078,38,14
C0007,C0079,34,21
C0007,C0080,8,19
C0007,C0081,49,4
C0007,C0082,8,1
C0007,C0083,32,9
C0007,C0084,30,46
C0007,C0085,18,7
C0007,C0086,17,22
C0007,C0087,26,7
C0007,C0088,13,4
C0007,C0089,27,32
C0007,C0090,10,10
C0007,C0091,7,26
C0007,C0092,23,7
C0007,C0093,50,13
C0007,C0094,10,2
C0007,C0095,1,1
C0007,C0096,21,16
C0007,C0097,15,13
C0007,C0098,54,23
C0007,C0099,10,5
C0007,C0100,10,3
C0007,C0101,5,5
C0007,C0102,54,15
C0007,C0103,46,30
C0007,C0104,29,6
C0007,C0105,151,33
C0007,C0106,3,4
C0007,C0107,89,21
C0007,C0108,21,25
C0007,C0109,60,7
C0007,C0110,23,29
C0007,C0111,82,20
C0007,C0112,14,13
C0007,C0113,35,10
C0007,C0114,18,4
C0007,C0115,71,16
C0007,C0116,56,20
C0007,C0117,954,578
C0007,C0118,314,82
C0007,C0119,502,180
C0007,C0120,68,13
C0007,C0121,77,15
C0007,C0122,112,15
C0007,C0123,106,13
C0007,C0124,41,6
C0007,C0125,20,7
C0007,C0126,48,24
C0007,C0127,6,8
C0007,C0128,29,2
C0007,C0129,130,84
C0007,C0130,59,16
C0007,C0131,13,5
C0007,C0132,92,43
C0007,C0133,120,82
C0007,C0134,113,86
C0007,C0135,147,89
C0007,C0136,166,83
C0007,C0137,124,94
C0007,C0138,51,14
C0007,C0139,182,35
C0007,C0140,70,30
C0007,C0141,11,3
C0007,C0142,42,11
C0007,C0143,102,36
C0007,C0144,258,101
C0007,C0145,50,26
C0007,C0146,64,11
C0008,C0001,10454,4715
C0008,C0002,65,36
C0008,C0003,188,111
C0008,C0004,488,254
C0008,C0005,998,130
C0008,C0006,386,240
C0008,C0007,860,684
C0008,C0008,3184,778
C0008,C0009,899,422
C0008,C0010,212,100
C0008,C0011,303,185
C0008,C0012,131,46
C0008,C0013,231,139
C0008,C0014,1280,645
C0008,C0015,346,128
C0008,C0016,2534,1246
C0008,C0017,65,36
C0008,C0019,56,22
C0008,C0020,45,25
C0008,C0021,48,15
C0008,C0022,44,49
C0008,C0023,18,33
C0008,C0024,10,18
C0008,C0025,15,20
C0008,C0026,33,18
C0008,C0027,25,15
C0008,C0028,72,19
C0008,C0029,41,21
C0008,C0030,48,13
C0008,C0031,236,111
C0008,C0032,35,12
C0008,C0033,84,38
C0008,C0034,196,110
C0008,C0035,59,68
C0008,C0036,21,16
C0008,C0037,20,73
C0008,C0038,80,43
C0008,C0039,48,21
C0008,C0040,76,74
C0008,C0041,84,76
C0008,C0042,290,206
C0008,C0043,27,46
C0008,C0044,34,21
C0008,C0045,89,31
C0008,C0046,52,21
C0008,C0047,41,21
C0008,C0048,31,65
C0008,C0049,379,50
C0008,C0050,13,10
C0008,C0051,266,55
C0008,C0052,198,57
C0008,C0053,481,66
C0008,C0054,269,59
C0008,C0055,375,63
C0008,C0056,302,94
C0008,C0057,107,43
C0008,C0058,160,19
C0008,C0059,200,78
C0008,C0060,29,12
C0008,C0061,58,29
C0008,C0062,344,105
C0008,C0063,35,24
C0008,C0064,40,25
C0008,C0065,196,81
C0008,C0066,14,5
C0008,C0067,270,128
C0008,C0068,139,44
C0008,C0069,8,5
C0008,C0070,141,66
C0008,C0071,20,14
C0008,C0072,38,26
C0008,C0073,47,50
C0008,C0074,70,17
C0008,C0075,26,24
C0008,C0076,43,35
C0008,C0077,4,5
C0008,C0078,81,16
C0008,C0079,59,25
C0008,C0080,7,32
C0008,C0081,131,16
C0008,C0082,37,15
C0008,C0083,23,18
C0008,C0084,34,46
C0008,C0085,34,23
C0008,C0086,49,37
C0008,C0087,61,19
C0008,C0088,20,11
C0008,C0089,109,92
C0008,C0090,41,17
C0008,C0091,19,62
C0008,C0092,44,23
C0008,C0093,42,16
C0008,C0094,18,9
C0008,C0095,14,10
C0008,C0096,46,24
C0008,C0097,35,29
C0008,C0098,133,70
C0008,C0099,28,20
C0008,C0100,29,20
C0008,C0101,25,18
C0008,C0102,106,41
C0008,C0103,96,40
C0008,C0104,54,23
C0008,C0105,214,39
C0008,C0106,5,14
C0008,C0107,81,37
C0008,C0108,68,86
C0008,C0109,191,26
C0008,C0110,58,46
C0008,C0111,115,32
C0008,C0112,17,26
C0008,C0113,51,16
C0008,C0114,43,21
C0008,C0115,84,21
C0008,C0116,41,15
C0008,C0117,1300,868
C0008,C0118,561,147
C0008,C0119,686,239
C0008,C0120,176,21
C0008,C0121,169,41
C0008,C0122,245,25
C0008,C0123,220,24
C0008,C0124,105,10
C0008,C0125,46,18
C0008,C0126,140,69
C0008,C0127,28,18
C0008,C0128,29,10
C0008,C0129,199,143
C0008,C0130,93,33
C0008,C0131,25,7
C0008,C0132,163,62
C0008,C0133,151,148
C0008,C0134,171,97
C0008,C0135,274,215
C0008,C0136,45,22
C0008,C0137,191,146
C0008,C0138,86,48
C0008,C0139,395,68
C0008,C0140,69,24
C0008,C0141,15,7
C0008,C0142,63,10
C0008,C0143,166,75
C0008,C0144,288,114
C0008,C0145,80,34
C0008,C0146,115,14
C0009,C0001,4324,1978
C0009,C0002,44,17
C0009,C0003,59,50
C0009,C0004,209,101
C0009,C0005,385,53
C0009,C0006,183,86
C0009,C0007,344,252
C0009,C0008,1222,346
C0009,C0009,439,192
C0009,C0010,122,62
C0009,C0011,105,80
C0009,C0012,34,13
C0009,C0013,78,54
C0009,C0014,497,227
C0009,C0015,175,63
C0009,C0016,1073,550
C0009,C0017,44,17
C0009,C0019,16,5
C0009,C0020,14,22
C0009,C0021,21,7
C0009,C0022,8,16
C0009,C0023,10,6
C0009,C0024,3,9
C0009,C0025,1,7
C0009,C0026,16,7
